Id,SalePrice
1461,121073.19683496252
1462,147945.85936680218
1463,174368.5617242072
1464,183741.283782282
1465,202308.75869312504
1466,178488.8963477225
1467,171430.39731070498
1468,177749.3305732873
1469,186463.38061690988
1470,118438.23087652853
1471,187178.13391173418
1472,92732.39866587115
1473,102327.28449181598
1474,155601.65768851657
1475,139288.28323105068
1476,386512.1612610085
1477,267637.8853311189
1478,320350.1402616868
1479,295642.12923876307
1480,428206.12025147304
1481,321242.06763305014
1482,213272.41186509855
1483,179461.7941318846
1484,176772.597948552
1485,167778.74135743408
1486,200615.0862689067
1487,342538.64009629504
1488,249971.38297807018
1489,207744.4881345879
1490,198035.25674783607
1491,187776.78184532849
1492,105943.08649338619
1493,181905.70373307462
1494,297979.9051156679
1495,289874.51621305296
1496,213440.3341928274
1497,197736.77902288648
1498,151450.63048839124
1499,151137.73685196054
1500,156683.55285419652
1501,173714.01164272064
1502,150816.56692424
1503,269947.069685872
1504,231033.53410621738
1505,212365.22944382334
1506,205213.8175129269
1507,244884.36071979578
1508,187097.42192514424
1509,164132.6046321042
1510,150980.1761717472
1511,151709.37259878547
1512,171967.7163177073
1513,162801.72348677242
1514,157639.72847075568
1515,199591.97129330115
1516,154457.33269690967
1517,147557.21983345354
1518,154102.9378941197
1519,219347.6717016794
1520,137491.063115767
1521,144401.01404264805
1522,171809.54921893857
1523,117337.36893628316
1524,119880.4921403634
1525,124524.18571430333
1526,124361.20653327825
1527,109855.07254386548
1528,125636.51308830595
1529,143400.85611530542
1530,161510.23282276985
1531,127036.05179578284
1532,98758.9291616989
1533,151253.51400172926
1534,127371.94754416362
1535,144361.48860717285
1536,120406.53474863015
1537,100014.08044959401
1538,168397.11839924438
1539,219172.8694456665
1540,130506.6173885858
1541,158006.73900538124
1542,147032.51358495658
1543,214833.28076921
1544,86415.32295480373
1545,98982.26888805346
1546,121802.95241407129
1547,122183.92285945443
1548,124455.20870766592
1549,113752.01536751668
1550,141958.12080921183
1551,119232.9389110103
1552,134137.8842713444
1553,127869.03784145942
1554,114354.9035189093
1555,146303.2177381553
1556,104093.92150211119
1557,119911.88426901512
1558,95665.4675170218
1559,117535.71259665494
1560,135477.74291955293
1561,154663.76227267875
1562,125434.08385048054
1563,119047.07144153528
1564,170688.94678240732
1565,145949.047194995
1566,209171.13079426382
1567,88915.91874936872
1568,199121.18716353932
1569,140050.0585942485
1570,132044.85986124075
1571,128261.96405248687
1572,141194.23974993985
1573,231068.08800258528
1574,157876.75549825636
1575,196833.46761892314
1576,221105.35490860505
1577,208291.0386986832
1578,149583.89008811564
1579,144465.9963708513
1580,192553.2514129842
1581,135740.54517146747
1582,126478.8846685909
1583,350519.0502108334
1584,242026.57869121953
1585,139125.39386055298
1586,81074.05134165881
1587,108561.27332668958
1588,146651.52452228867
1589,105038.13281234965
1590,138781.09322528885
1591,106514.66258702271
1592,136219.46268509497
1593,113652.80038637323
1594,140917.89274549464
1595,127248.81826448785
1596,229911.50088305678
1597,177887.23919087806
1598,182003.0602356379
1599,182311.29547398546
1600,191287.95191541803
1601,63596.80370947731
1602,116730.9205943124
1603,100219.29378024298
1604,271304.280673144
1605,264524.91144168226
1606,167413.29072399597
1607,221123.81009248382
1608,214262.18859978233
1609,202874.1771219602
1610,164398.3672113695
1611,153290.14145040629
1612,190459.07085478373
1613,184902.01868176032
1614,121404.98595251088
1615,84299.52148668643
1616,84299.52148668643
1617,87288.55418960209
1618,129310.1548592657
1619,134314.3111798427
1620,212956.5257597795
1621,145692.99632193006
1622,140028.9010129709
1623,277207.28581003455
1624,207544.21226094206
1625,120007.76407803858
1626,177073.49689775743
1627,183625.3048633304
1628,262745.04224425234
1629,174642.40535335024
1630,314948.90496386465
1631,233128.1839895715
1632,268676.48376154376
1633,165934.56784234275
1634,179794.188931782
1635,176541.61662048072
1636,169300.26381918255
1637,170121.55959274934
1638,199825.59154229195
1639,189110.61899233324
1640,254907.0060783727
1641,188603.19821233096
1642,225065.80368191673
1643,244436.95827563351
1644,224036.9492625174
